Date,Adj Close,Close,High,Low,Open,Volume,LogReturn,MA_5,MA_10,Momentum,Lag1_Return,Lag2_Return,Lag1_Volatility,RollingVolatility_7d,TargetVolatility
1980-03-31,2.315470457,3.317985058,3.371500969,3.317985058,0.0,1869,0.0,2.332276058,2.331342578,0.004024003438756974,-0.004024003438756974,-0.01197616292865817,0.011629016324844763,0.011629016324844763,0.0072417076033072
1980-04-01,2.278123856,3.264468908,3.317985058,3.264468908,0.0,2803,-0.01626065401047265,2.3173375606,2.328541565,-0.01626065401047265,0.0,-0.004024003438756974,0.011629016324844763,0.0072417076033072,0.006050607029399421
1980-04-02,2.259451628,3.237710953,3.291227102,3.237710953,0.0,6540,-0.008230092683537754,2.2986646176,2.3238733292,0.008030561326934896,-0.01626065401047265,0.0,0.0072417076033072,0.006050607029399421,0.00655169297573752
1980-04-03,2.259451628,3.237710953,3.237710953,3.237710953,3.237710953,0,0.0,2.2855936052,2.3192050934,0.008230092683537754,-0.008230092683537754,-0.01626065401047265,0.006050607029399421,0.00655169297573752,0.00655169297573752
1980-04-07,2.259451628,3.237710953,3.291227102,3.237710953,0.0,934,0.0,2.2743898394,2.3089348792999997,0.0,0.0,-0.008230092683537754,0.00655169297573752,0.00655169297573752,0.0062206650838482975
1980-04-08,2.259451628,3.237710953,3.291227102,3.237710953,0.0,44846,0.0,2.2631860736,2.2977310658,0.0,0.0,0.0,0.00655169297573752,0.0062206650838482975,0.015169455409229756
1980-04-09,2.334143877,3.344743013,3.398258924,3.344743013,0.0,42044,0.032523034559452726,2.2743900777999997,2.2958638192,0.032523034559452726,0.0,0.0,0.0062206650838482975,0.015169455409229756,0.01568047477178207
1980-04-10,2.362153769,3.384880066,3.438395977,3.384880066,0.0,35503,0.01192864091829403,2.2949305059999996,2.2967975617999996,-0.020594393641158698,0.032523034559452726,0.0,0.015169455409229756,0.01568047477178207,0.013752467897854255
1980-04-11,2.352816343,3.371500969,3.425017118,3.371500969,0.0,59795,-0.003960762416321217,2.313603449,2.2995985270999997,-0.01588940333461525,0.01192864091829403,0.032523034559452726,0.01568047477178207,0.013752467897854255,0.01279004559885442
1980-04-14,2.352816343,3.371500969,3.371500969,3.371500969,3.371500969,0,0.0,2.332276392,2.3033331157,0.003960762416321217,-0.003960762416321217,0.01192864091829403,0.013752467897854255,0.01279004559885442,0.015583992828508017
1980-04-15,2.427510023,3.47853303,3.532048941,3.47853303,0.0,1869,0.03125299568876156,2.3658880709999996,2.3145370723,0.03125299568876156,0.0,-0.003960762416321217,0.01279004559885442,0.015583992828508017,0.015583992828508017
1980-04-16,2.427510023,3.47853303,3.532048941,3.47853303,0.0,61664,0.0,2.3845613002,2.3294756889999997,-0.03125299568876156,0.03125299568876156,0.0,0.015583992828508017,0.015583992828508017,0.015583992828508017
1980-04-17,2.427510023,3.47853303,3.47853303,3.47853303,3.47853303,0,0.0,2.397632551,2.3462815284999996,0.0,0.0,0.03125299568876156,0.015583992828508017,0.015583992828508017,0.014689968999206065
1980-04-18,2.390162706,3.425017118,3.47853303,3.425017118,0.0,1869,-0.015504608663559658,2.4051018236,2.3593526362999997,-0.015504608663559658,0.0,0.0,0.015583992828508017,0.014689968999206065,0.014218418457219375
